,Comparison of Desktop Intel® Processors ,,,,,,,,,,Last Revision : 2019.12.2,,,,,,,,,,,,,,,,
,Product Collection,Processor Number,Quarter Launch,Year launch,Lithography (nm),# of Cores,# of Threads,Processor Base Frequency (GHz),Cache (MB),TDP (W),Max Turbo Frequency (GHz),Intel® Turbo Boost Max Technology 3.0 Frequency (GHz),Memory Types,Max # of Memory Channels,Intel® Processor Graphics,Graphics Base Frequency (MHz),Graphics Max Dynamic Frequency (GHz),Sockets Supported,Intel® Turbo Boost Technology ,Intel® vPro™ Platform Eligibility,Intel® Hyper-Threading Technology ,Intel® Virtualization Technology  (VT-x),Enhanced Intel SpeedStep® Technology,Intel® Stable Image Platform Program (SIPP),Intel® Turbo Boost Max Technology 3.0,Intel® AES New Instructions,Intel® Memory Protection Extensions (Intel® MPX)
,6th Gen  ,i3-6100T,Q3,2015,14,2,4,3.20,3,35,N/A,N/A,"DDR4-1866/2133, DDR3L-1333/1600 ",2, HD  530,350,0.95,FCLGA1151,No,No,Yes,Yes,Yes,No,No,Yes,Yes
,6th Gen  ,i5-6600,Q3,2015,14,4,4,3.30,6,65,3.90,N/A,"DDR4-1866/2133, DDR3L-1333/1600 ",2, HD  530,350,1.15,FCLGA1151,2.0,Yes,No,Yes,Yes,Yes,No,Yes,Yes
,6th Gen  ,i5-6600T,Q3,2015,14,4,4,2.70,6,35,3.50,N/A,"DDR4-1866/2133, DDR3L-1333/1600 ",2, HD  530,350,1.10,FCLGA1151,2.0,Yes,No,Yes,Yes,Yes,No,Yes,Yes
,6th Gen  ,i5-6500,Q3,2015,14,4,4,3.20,6,65,3.60,N/A,"DDR4-1866/2133, DDR3L-1333/1600 ",2, HD  530,350,1.05,FCLGA1151,2.0,Yes,No,Yes,Yes,Yes,No,Yes,Yes
,6th Gen  ,i5-6500T,Q3,2015,14,4,4,2.50,6,35,3.10,N/A,"DDR4-1866/2133, DDR3L-1333/1600 ",2, HD  530,350,1.10,FCLGA1151,2.0,Yes,No,Yes,Yes,Yes,No,Yes,Yes
,6th Gen  ,i5-6400,Q3,2015,14,4,4,2.70,6,65,3.30,N/A,"DDR4-1866/2133, DDR3L-1333/1600 ",2, HD  530,350,0.95,FCLGA1151,2.0,No,No,Yes,Yes,No,No,Yes,Yes
,6th Gen  ,i5-6400T,Q3,2015,14,4,4,2.20,6,35,2.80,N/A,"DDR4-1866/2133, DDR3L-1333/1600 ",2, HD  530,350,0.95,FCLGA1151,2.0,No,No,Yes,Yes,No,No,Yes,Yes
,6th Gen  ,i5-6600K,Q3,2015,14,4,4,3.50,6,91,3.90,N/A,"DDR4-1866/2133, DDR3L-1333/1600 ",2, HD  530,350,1.15,FCLGA1151,2.0,No,No,Yes,Yes,No,No,Yes,Yes
,6th Gen  ,i7-6700K,Q3,2015,14,4,8,4.00,8,91,4.20,N/A,"DDR4-1866/2133, DDR3L-1333/1600 ",2, HD  530,350,1.15,FCLGA1151,2.0,No,Yes,Yes,Yes,No,No,Yes,Yes
,6th Gen  ,i7-6700T,Q3,2015,14,4,8,2.80,8,35,3.60,N/A,"DDR4-1866/2133, DDR3L-1333/1600 ",2, HD  530,350,1.10,FCLGA1151,2.0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
,6th Gen  ,i7-6700,Q3,2015,14,4,8,3.40,8,65,4.00,N/A,"DDR4-1866/2133, DDR3L-1333/1600 ",2, HD  530,350,1.15,FCLGA1151,2.0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
,5th Gen  ,i5-5675R,Q2,2015,14,4,4,3.10,4,65,3.60,N/A,DDR3L-1333/1600/1866 ,2, Iris® Pro  6200,300,1.10,FCBGA1364,2.0,No,No,Yes,Yes,No,No,Yes,No
,5th Gen  ,i5-5675C,Q2,2015,14,4,4,3.10,4,65,3.60,N/A,DDR3L-1333/1600 ,2, Iris® Pro  6200,300,1.10,FCLGA1150,2.0,No,No,Yes,Yes,No,No,Yes,No
,5th Gen  ,i5-5575R,Q2,2015,14,4,4,2.80,4,65,3.30,N/A,DDR3L-1333/1600/1866 ,2, Iris® Pro  6200,300,1.05,FCBGA1364,2.0,No,No,Yes,Yes,No,No,Yes,No
,5th Gen  ,i7-5775R,Q2,2015,14,4,8,3.30,6,65,3.80,N/A,DDR3L-1333/1600/1866 ,2, Iris® Pro  6200,300,1.15,FCBGA1364,2.0,No,Yes,Yes,Yes,No,No,Yes,No
,5th Gen  ,i7-5775C,Q2,2015,14,4,8,3.30,6,65,3.70,N/A,DDR3L-1333/1600 ,2, Iris® Pro  6200,300,1.15,FCLGA1150,2.0,No,Yes,Yes,Yes,No,No,Yes,No
,4th Gen  ,i3-4170,Q1,2015,22,2,4,3.70,3,54,N/A,N/A,"DDR3-1333/1600, DDR3L-1333/1600 ",2, HD  4400,350,1.15,FCLGA1150,No,No,Yes,Yes,Yes,No,No,Yes,No
,4th Gen  ,i3-4170T,Q1,2015,22,2,4,3.20,3,35,N/A,N/A,"DDR3-1333/1600, DDR3L-1333/1600 ",2, HD  4400,200,1.15,FCLGA1150,No,No,Yes,Yes,Yes,No,No,Yes,No
,4th Gen  ,i3-4370T,Q1,2015,22,2,4,3.30,4,35,N/A,N/A,"DDR3-1333/1600, DDR3L-1333/1600 ",2, HD  4600,200,1.15,FCLGA1150,No,No,Yes,Yes,Yes,No,No,Yes,No
,4th Gen  ,i3-4160,Q3,2014,22,2,4,3.60,3,54,N/A,N/A,"DDR3-1333/1600, DDR3L-1333/1600 ",2, HD  4400,350,1.15,FCLGA1150,No,No,Yes,Yes,Yes,No,No,Yes,No
,4th Gen  ,i3-4160T,Q3,2014,22,2,4,3.10,3,35,N/A,N/A,"DDR3-1333/1600, DDR3L-1333/1600 ",2, HD  4400,200,1.15,FCLGA1150,No,No,Yes,Yes,Yes,No,No,Yes,No
,4th Gen  ,i3-4370,Q3,2014,22,2,4,3.80,4,54,N/A,N/A,"DDR3-1333/1600, DDR3L-1333/1600 ",2, HD  4600,350,1.15,FCLGA1150,No,No,Yes,Yes,Yes,No,No,Yes,No
,4th Gen  ,i3-4360T,Q3,2014,22,2,4,3.20,4,35,N/A,N/A,"DDR3-1333/1600, DDR3L-1333/1600 ",2, HD  4600,200,1.15,FCLGA1150,No,No,Yes,Yes,Yes,No,No,Yes,No
, X-series ,i7-5960X,Q3,2014,22,8,16,3.00,20,140,3.50,N/A,DDR4 1600/1866/2133,4,N/A,N/A,N/A,FCLGA2011-3,2.0,No,Yes,Yes,Yes,No,No,Yes,No
, X-series ,i7-5930K,Q3,2014,22,6,12,3.50,15,140,3.70,N/A,DDR4 1600/1866/2133,4,N/A,N/A,N/A,FCLGA2011-3,2.0,No,Yes,Yes,Yes,No,No,Yes,No
, X-series ,i7-5820K,Q3,2014,22,6,12,3.30,15,140,3.60,N/A,DDR4 1600/1866/2133,4,N/A,N/A,N/A,FCLGA2011-3,2.0,No,Yes,Yes,Yes,No,No,Yes,No
,4th Gen  ,i3-4150,Q2,2014,22,2,4,3.50,3,54,N/A,N/A,"DDR3-1333/1600, DDR3L-1333/1600 ",2, HD  4400,350,1.15,FCLGA1150,No,No,Yes,Yes,Yes,No,No,Yes,No
,4th Gen  ,i3-4150T,Q2,2014,22,2,4,3.00,3,35,N/A,N/A,"DDR3-1333/1600, DDR3L-1333/1600 ",2, HD  4400,200,1.15,FCLGA1150,No,No,Yes,Yes,Yes,No,No,Yes,No
,4th Gen  ,i3-4360,Q2,2014,22,2,4,3.70,4,54,N/A,N/A,"DDR3-1333/1600, DDR3L-1333/1600 ",2, HD  4600,350,1.15,FCLGA1150,No,No,Yes,Yes,Yes,No,No,Yes,No
,4th Gen  ,i3-4350T,Q2,2014,22,2,4,3.10,4,35,N/A,N/A,"DDR3-1333/1600, DDR3L-1333/1600 ",2, HD  4600,200,1.15,FCLGA1150,No,No,Yes,Yes,Yes,No,No,Yes,No
,4th Gen  ,i3-4350,Q2,2014,22,2,4,3.60,4,54,N/A,N/A,"DDR3-1333/1600, DDR3L-1333/1600 ",2, HD  4600,350,1.15,FCLGA1150,No,No,Yes,Yes,Yes,No,No,Yes,No
,4th Gen  ,i5-4460,Q2,2014,22,4,4,3.20,6,84,3.40,N/A,"DDR3-1333/1600, DDR3L-1333/1600 ",2, HD  4600,350,1.10,FCLGA1150,2.0,No,No,Yes,Yes,No,No,Yes,No
,4th Gen  ,i5-4460S,Q2,2014,22,4,4,2.90,6,65,3.40,N/A,"DDR3-1333/1600, DDR3L-1333/1600 ",2, HD  4600,350,1.10,FCLGA1150,2.0,No,No,Yes,Yes,No,No,Yes,No
,4th Gen  ,i5-4460T,Q2,2014,22,4,4,1.90,6,35,2.70,N/A,"DDR3-1333/1600, DDR3L-1333/1600 ",2, HD  4600,350,1.10,FCLGA1150,2.0,No,No,Yes,Yes,No,No,Yes,No
,4th Gen  ,i5-4590T,Q2,2014,22,4,4,2.00,6,35,3.00,N/A,"DDR3-1333/1600, DDR3L-1333/1600 ",2, HD  4600,350,1.15,FCLGA1150,2.0,Yes,No,Yes,Yes,Yes,No,Yes,No
,4th Gen  ,i5-4590S,Q2,2014,22,4,4,3.00,6,65,3.70,N/A,"DDR3-1333/1600, DDR3L-1333/1600 ",2, HD  4600,350,1.15,FCLGA1150,2.0,Yes,No,Yes,Yes,Yes,No,Yes,No
,4th Gen  ,i5-4590,Q2,2014,22,4,4,3.30,6,84,3.70,N/A,"DDR3-1333/1600, DDR3L-1333/1600 ",2, HD  4600,350,1.15,FCLGA1150,2.0,Yes,No,Yes,Yes,Yes,No,Yes,No
,4th Gen  ,i5-4690T,Q2,2014,22,4,4,2.50,6,45,3.50,N/A,"DDR3-1333/1600, DDR3L-1333/1600 ",2, HD  4600,350,1.20,FCLGA1150,2.0,Yes,No,Yes,Yes,Yes,No,Yes,No
,4th Gen  ,i5-4690S,Q2,2014,22,4,4,3.20,6,65,3.90,N/A,"DDR3-1333/1600, DDR3L-1333/1600 ",2, HD  4600,350,1.20,FCLGA1150,2.0,Yes,No,Yes,Yes,Yes,No,Yes,No
,4th Gen  ,i5-4690,Q2,2014,22,4,4,3.50,6,84,3.90,N/A,"DDR3-1333/1600, DDR3L-1333/1600 ",2, HD  4600,350,1.20,FCLGA1150,2.0,Yes,No,Yes,Yes,Yes,No,Yes,No
,4th Gen  ,i5-4690K,Q2,2014,22,4,4,3.50,6,88,3.90,N/A,"DDR3-1333/1600, DDR3L-1333/1600 ",2, HD  4600,350,1.20,FCLGA1150,2.0,No,No,Yes,Yes,No,No,Yes,No
,4th Gen  ,i7-4790T,Q2,2014,22,4,8,2.70,8,45,3.90,N/A,"DDR3-1333/1600, DDR3L-1333/1600 ",2, HD  4600,350,1.20,FCLGA1150,2.0,Yes,Yes,Yes,Yes,Yes,No,Yes,No
,4th Gen  ,i7-4790S,Q2,2014,22,4,8,3.20,8,65,4.00,N/A,"DDR3-1333/1600, DDR3L-1333/1600 ",2, HD  4600,350,1.20,FCLGA1150,2.0,Yes,Yes,Yes,Yes,Yes,No,Yes,No
,4th Gen  ,i7-4790,Q2,2014,22,4,8,3.60,8,84,4.00,N/A,"DDR3-1333/1600, DDR3L-1333/1600 ",2, HD  4600,350,1.20,FCLGA1150,2.0,Yes,Yes,Yes,Yes,Yes,No,Yes,No
,4th Gen  ,i7-4785T,Q2,2014,22,4,8,2.20,8,35,3.20,N/A,"DDR3-1333/1600, DDR3L-1333/1600 ",2, HD  4600,350,1.20,FCLGA1150,2.0,Yes,Yes,Yes,Yes,Yes,No,Yes,No
,4th Gen  ,i7-4790K,Q2,2014,22,4,8,4.00,8,88,4.40,N/A,"DDR3-1333/1600, DDR3L-1333/1600 ",2, HD  4600,350,1.25,FCLGA1150,2.0,No,Yes,Yes,Yes,No,No,Yes,No
,Comparison of Desktop Intel® Processors ,,,,,,,,Last Revision : 2019.12.02,,,,,,,,,,,,,,
,Product Collection,Processor Number,Quarter Launch,Year launch,Lithography (nm),# of Cores,# of Threads,Processor Base Frequency (GHz),Cache (MB),TDP (W),Max Turbo Frequency (GHz),Memory Types,Max # of Memory Channels,Intel® Proce>
,3rd Gen ,i5-3340S,Q3,2013,22,4,4,2.80,6,65,3.30,DDR3 1333/1600,2, HD  2500,650,1.05,FCLGA1155,2,No,No,Yes,Yes,No,Yes
,3rd Gen ,i5-3340,Q3,2013,22,4,4,3.10,6,77,3.30,DDR3 1333/1600,2, HD  2500,650,1.05,FCLGA1155,2,No,No,Yes,Yes,No,Yes
,4th Gen,i3-4130,Q3,2013,22,2,4,3.40,3,54,N/A,"DDR3-1333/1600, DDR3L-1333/1600",2, HD  4400,350,1.15,FCLGA1150,No,No,Yes,Yes,Yes,No,Yes
,4th Gen,i3-4130T,Q3,2013,22,2,4,2.90,3,35,N/A,"DDR3-1333/1600, DDR3L-1333/1600",2, HD  4400,200,1.15,FCLGA1150,No,No,Yes,Yes,Yes,No,Yes
,4th Gen,i3-4340,Q3,2013,22,2,4,3.60,4,54,N/A,"DDR3-1333/1600, DDR3L-1333/1600",2, HD  4600,350,1.15,FCLGA1150,No,No,Yes,Yes,Yes,No,Yes
,4th Gen,i3-4330T,Q3,2013,22,2,4,3.00,4,35,N/A,"DDR3-1333/1600, DDR3L-1333/1600",2, HD  4600,200,1.15,FCLGA1150,No,No,Yes,Yes,Yes,No,Yes
,4th Gen,i3-4330,Q3,2013,22,2,4,3.50,4,54,N/A,"DDR3-1333/1600, DDR3L-1333/1600",2, HD  4600,350,1.15,FCLGA1150,No,No,Yes,Yes,Yes,No,Yes
,4th Gen ,i5-4440,Q3,2013,22,4,4,3.10,6,84,3.30,"DDR3-1333/1600, DDR3L-1333/1600",2, HD  4600,350,1.10,FCLGA1150,2,No,No,Yes,Yes,No,Yes
,4th Gen ,i5-4440S,Q3,2013,22,4,4,2.80,6,65,3.30,"DDR3-1333/1600, DDR3L-1333/1600",2, HD  4600,350,1.10,FCLGA1150,2,No,No,Yes,Yes,No,Yes
,4th Gen ,i7-4771,Q3,2013,22,4,8,3.50,8,84,3.90,"DDR3-1333/1600, DDR3L-1333/1600",2, HD  4600,350,1.20,FCLGA1150,2,Yes,Yes,Yes,Yes,Yes,Yes
, X-series ,i7-4820K,Q3,2013,22,4,8,3.70,10,130,3.90,DDR3 1333/1600/1866,4,N/A,N/A,N/A,FCLGA2011,2.0,No,Yes,Yes,Yes,No,Yes
, X-series ,i7-4930K,Q3,2013,22,6,12,3.40,12,130,3.90,DDR3 1333/1600/1866,4,N/A,N/A,N/A,FCLGA2011,2.0,No,Yes,Yes,Yes,No,Yes
, X-series ,i7-4960X,Q3,2013,22,6,12,3.60,15,130,4.00,DDR3 1333/1600/1866,4,N/A,N/A,N/A,FCLGA2011,2.0,No,Yes,Yes,Yes,No,Yes
,3rd Gen ,i3-3250T,Q2,2013,22,2,4,3.00,3,35,N/A,DDR3 1333/1600,2, HD  2500,650,1.05,FCLGA1155,No,No,Yes,Yes,Yes,No,No
,3rd Gen ,i3-3250,Q2,2013,22,2,4,3.50,3,55,N/A,DDR3 1333/1600,2, HD  2500,650,1.05,FCLGA1155,No,No,Yes,Yes,Yes,No,No
,3rd Gen ,i3-3245,Q2,2013,22,2,4,3.40,3,55,N/A,DDR3 1333/1600,2, HD  4000,650,1.05,FCLGA1155,No,No,Yes,Yes,Yes,No,No
,4th Gen ,i5-4430,Q2,2013,22,4,4,3.00,6,84,3.20,"DDR3-1333/1600, DDR3L-1333/1600",2, HD  4600,350,1.10,FCLGA1150,2,No,No,Yes,Yes,No,Yes
,4th Gen ,i5-4430S,Q2,2013,22,4,4,2.70,6,65,3.20,"DDR3-1333/1600, DDR3L-1333/1600",2, HD  4600,350,1.10,FCLGA1150,2,No,No,Yes,Yes,No,Yes
,4th Gen ,i5-4570T,Q2,2013,22,2,4,2.90,4,35,3.60,"DDR3-1333/1600, DDR3L-1333/1600",2, HD  4600,200,1.15,FCLGA1150,2,Yes,Yes,Yes,Yes,Yes,Yes
,4th Gen ,i5-4570S,Q2,2013,22,4,4,2.90,6,65,3.60,"DDR3-1333/1600, DDR3L-1333/1600",2, HD  4600,350,1.15,FCLGA1150,2,Yes,No,Yes,Yes,Yes,Yes
,4th Gen ,i5-4570,Q2,2013,22,4,4,3.20,6,84,3.60,"DDR3-1333/1600, DDR3L-1333/1600",2, HD  4600,350,1.15,FCLGA1150,2,Yes,No,Yes,Yes,Yes,Yes
,4th Gen ,i5-4670T,Q2,2013,22,4,4,2.30,6,45,3.30,"DDR3-1333/1600, DDR3L-1333/1600",2, HD  4600,350,1.20,FCLGA1150,2,Yes,No,Yes,Yes,Yes,Yes
,4th Gen ,i5-4670S,Q2,2013,22,4,4,3.10,6,65,3.80,"DDR3-1333/1600, DDR3L-1333/1600",2, HD  4600,350,1.20,FCLGA1150,2,Yes,No,Yes,Yes,Yes,Yes
,4th Gen ,i5-4670K,Q2,2013,22,4,4,3.40,6,84,3.80,"DDR3-1333/1600, DDR3L-1333/1600",2, HD  4600,350,1.20,FCLGA1150,2,No,No,Yes,Yes,No,Yes
,4th Gen ,i5-4670,Q2,2013,22,4,4,3.40,6,84,3.80,"DDR3-1333/1600, DDR3L-1333/1600",2, HD  4600,350,1.20,FCLGA1150,2,Yes,No,Yes,Yes,Yes,Yes
,4th Gen ,i5-4570R,Q2,2013,22,4,4,2.70,4,65,3.20,DDR3 and DDR3L 1333/1600,2, Iris® Pro  5200,200,1.15,FCBGA1364,2,No,No,Yes,Yes,No,Yes
,4th Gen ,i5-4670R,Q2,2013,22,4,4,3.00,4,65,3.70,DDR3 and DDR3L 1333/1600,2, Iris® Pro  5200,200,1.30,FCBGA1364,2,No,No,Yes,Yes,No,Yes
,4th Gen ,i7-4770T,Q2,2013,22,4,8,2.50,8,45,3.70,"DDR3-1333/1600, DDR3L-1333/1600",2, HD  4600,350,1.20,FCLGA1150,2,Yes,Yes,Yes,Yes,Yes,Yes
,4th Gen ,i7-4770S,Q2,2013,22,4,8,3.10,8,65,3.90,"DDR3-1333/1600, DDR3L-1333/1600",2, HD  4600,350,1.20,FCLGA1150,2,Yes,Yes,Yes,Yes,Yes,Yes
,4th Gen ,i7-4765T,Q2,2013,22,4,8,2.00,8,35,3.00,"DDR3-1333/1600, DDR3L-1333/1600",2, HD  4600,350,1.20,FCLGA1150,2,Yes,Yes,Yes,Yes,Yes,Yes
,4th Gen ,i7-4770,Q2,2013,22,4,8,3.40,8,84,3.90,"DDR3-1333/1600, DDR3L-1333/1600",2, HD  4600,350,1.20,FCLGA1150,2,Yes,Yes,Yes,Yes,Yes,Yes
,4th Gen ,i7-4770K,Q2,2013,22,4,8,3.50,8,84,3.90,"DDR3-1333/1600, DDR3L-1333/1600",2, HD  4600,350,1.25,FCLGA1150,2,No,Yes,Yes,Yes,No,Yes
,4th Gen ,i7-4770R,Q2,2013,22,4,8,3.20,6,65,3.90,DDR3 and DDR3L 1333/1600,2, Iris® Pro  5200,200,1.30,FCBGA1364,2,No,Yes,Yes,Yes,No,Yes
,3rd Gen ,i3-3210,Q1,2013,22,2,4,3.20,3,55,N/A,DDR3 1333/1600,2, HD  2500,650,1.05,FCLGA1155,No,No,Yes,Yes,Yes,No,No
, X-series ,i7-3970X,Q4,2012,32,6,12,3.50,15,150,4.00,DDR3 1066/1333/1600,4,N/A,N/A,N/A,FCLGA2011,2.0,No,Yes,Yes,Yes,No,Yes
,3rd Gen ,i5-3350P,Q3,2012,22,4,4,3.10,6,69,3.30,DDR3 1333/1600,2,N/A,N/A,N/A,FCLGA1155,2.0,No,No,Yes,Yes,No,Yes
,3rd Gen ,i5-3330S,Q3,2012,22,4,4,2.70,6,65,3.20,DDR3 1333/1600,2, HD  2500,650,1.05,FCLGA1155,2,No,No,Yes,Yes,No,Yes
,3rd Gen ,i5-3330,Q3,2012,22,4,4,3.00,6,77,3.20,DDR3 1333/1600,2, HD  2500,650,1.05,FCLGA1155,2,No,No,Yes,Yes,No,Yes
,3rd Gen ,i3-3240T,Q3,2012,22,2,4,2.90,3,35,N/A,DDR3 1333/1600,2, HD  2500,650,1.05,FCLGA1155,No,No,Yes,Yes,Yes,No,No
,3rd Gen ,i3-3240,Q3,2012,22,2,4,3.40,3,55,N/A,DDR3 1333/1600,2, HD  2500,650,1.05,FCLGA1155,No,No,Yes,Yes,Yes,No,No
,3rd Gen ,i3-3225,Q3,2012,22,2,4,3.30,3,55,N/A,DDR3 1333/1600,2, HD  4000,650,1.05,FCLGA1155,No,No,Yes,Yes,Yes,No,No
,3rd Gen ,i3-3220T,Q3,2012,22,2,4,2.80,3,35,N/A,DDR3 1333/1600,2, HD  2500,650,1.05,FCLGA1155,No,No,Yes,Yes,Yes,No,No
,3rd Gen ,i3-3220,Q3,2012,22,2,4,3.30,3,55,N/A,DDR3 1333/1600,2, HD  2500,650,1.05,FCLGA1155,No,No,Yes,Yes,Yes,No,No
,3rd Gen ,i5-3570S,Q2,2012,22,4,4,3.10,6,65,3.80,DDR3 1333/1600,2, HD  2500,650,1.15,FCLGA1155,2,Yes,No,Yes,Yes,No,Yes
,3rd Gen ,i5-3570,Q2,2012,22,4,4,3.40,6,77,3.80,DDR3 1333/1600,2, HD  2500,650,1.15,FCLGA1155,2,Yes,No,Yes,Yes,No,Yes
,3rd Gen ,i5-3475S,Q2,2012,22,4,4,2.90,6,65,3.60,DDR3 1333/1600,2, HD  4000,650,1.10,FCLGA1155,2,Yes,No,Yes,Yes,No,Yes
,3rd Gen ,i5-3470T,Q2,2012,22,2,4,2.90,3,35,3.60,DDR3 1333/1600,2, HD  2500,650,1.10,FCLGA1155,2,Yes,Yes,Yes,Yes,No,Yes
,3rd Gen ,i5-3470S,Q2,2012,22,4,4,2.90,6,65,3.60,DDR3 1333/1600,2, HD  2500,650,1.10,FCLGA1155,2,Yes,No,Yes,Yes,No,Yes
,3rd Gen ,i5-3470,Q2,2012,22,4,4,3.20,6,77,3.60,DDR3 1333/1600,2, HD  2500,650,1.10,FCLGA1155,2,Yes,No,Yes,Yes,No,Yes
,3rd Gen ,i7-3770T,Q2,2012,22,4,8,2.50,8,45,3.70,DDR3 1333/1600,2, HD  4000,650,1.15,FCLGA1155,2,Yes,Yes,Yes,Yes,No,Yes
,3rd Gen ,i7-3770S,Q2,2012,22,4,8,3.10,8,65,3.90,DDR3 1333/1600,2, HD  4000,650,1.15,FCLGA1155,2,Yes,Yes,Yes,Yes,No,Yes
,3rd Gen ,i7-3770k,Q2,2012,22,4,8,3.50,8,77,3.90,DDR3 1333/1600,2, HD  4000,650,1.15,FCLGA1155,2,No,Yes,Yes,Yes,No,Yes
,3rd Gen ,i7-3770,Q2,2012,22,4,8,3.40,8,77,3.90,DDR3 1333/1600,2, HD  4000,650,1.15,FCLGA1155,2,Yes,Yes,Yes,Yes,No,Yes
,3rd Gen ,i5-3570T,Q2,2012,22,4,4,2.30,6,45,3.30,DDR3 1333/1600,2, HD  2500,650,1.15,FCLGA1155,2,Yes,No,Yes,Yes,No,Yes
,3rd Gen ,i5-3570K,Q2,2012,22,4,4,3.40,6,77,3.80,DDR3 1333/1600,2, HD  4000,650,1.15,FCLGA1155,2,No,No,Yes,Yes,No,Yes
,3rd Gen ,i5-3550S,Q2,2012,22,4,4,3.00,6,65,3.70,DDR3 1333/1600,2, HD  2500,650,1.15,FCLGA1155,2,Yes,No,Yes,Yes,No,Yes
,3rd Gen ,i5-3550,Q2,2012,22,4,4,3.30,6,77,3.70,DDR3 1333/1600,2, HD  2500,650,1.15,FCLGA1155,2,Yes,No,Yes,Yes,No,Yes
,3rd Gen ,i5-3450S,Q2,2012,22,4,4,2.80,6,65,3.50,DDR3 1333/1600,2, HD  2500,650,1.10,FCLGA1155,2,No,No,Yes,Yes,No,Yes
,3rd Gen ,i5-3450,Q2,2012,22,4,4,3.10,6,77,3.50,DDR3 1333/1600,2, HD  2500,650,1.10,FCLGA1155,2,No,No,Yes,Yes,No,Yes
,2nd Gen,i5-2550K,Q1,2012,32,4,4,3.40,6,95,3.80,DDR3 1066/1333,2,N/A,N/A,N/A,LGA1155,2.0,No,No,Yes,Yes,No,Yes
,2nd Gen,i5-2450P,Q1,2012,32,4,4,3.20,6,95,3.50,DDR3 1066/1333,2,N/A,N/A,N/A,LGA1155,2.0,No,No,Yes,Yes,No,Yes
,2nd Gen,i5-2380P,Q1,2012,32,4,4,3.10,6,95,3.40,DDR3 1066/1333,2,N/A,N/A,N/A,LGA1155,2.0,No,No,Yes,Yes,No,Yes
, X-series ,i7-3820,Q1,2012,32,4,8,3.60,10,130,3.80,DDR3 1066/1333/1600,4,N/A,N/A,N/A,FCLGA2011,2.0,No,Yes,Yes,Yes,No,Yes
,2nd Gen,i7-2700K,Q4,2011,32,4,8,3.50,8,95,3.90,DDR3 1066/1333,2, HD  3000,850,1.35,LGA1155,2,No,Yes,Yes,Yes,No,Yes
, X-series ,i7-3930K,Q4,2011,32,6,12,3.20,12,130,3.80,DDR3 1066/1333/1600,4,N/A,N/A,N/A,FCLGA2011,2.0,No,Yes,Yes,Yes,No,Yes
, X-series ,i7-3960X,Q4,2011,32,6,12,3.30,15,130,3.90,DDR3 1066/1333/1600,4,N/A,N/A,N/A,FCLGA2011,2.0,No,Yes,Yes,Yes,No,Yes
,2nd Gen,i5-2320,Q3,2011,32,4,4,3.00,6,95,3.30,DDR3 1066/1333,2, HD  2000,850,1.10,LGA1155,2,No,No,Yes,Yes,No,Yes
,2nd Gen,i3-2130,Q3,2011,32,2,4,3.40,3,65,N/A,DDR3 1066/1333,2, HD  2000,850,1.10,FCLGA1155,No,No,Yes,Yes,Yes,No,No
,2nd Gen,i3-2125,Q3,2011,32,2,4,3.30,3,65,N/A,DDR3 1066/1333,2, HD  3000,850,1.10,FCLGA1155,No,No,Yes,Yes,Yes,No,No
,2nd Gen,i3-2120T,Q3,2011,32,2,4,2.60,3,35,N/A,DDR3 1066/1333,2, HD  2000,650,1.10,FCLGA1155,No,No,Yes,Yes,Yes,No,No
,Legacy  Core ,i7-980,Q2,2011,32,6,12,3.33,12,130,3.60,DDR3 1066,3,N/A,N/A,N/A,FCLGA1366,1.0,No,Yes,Yes,Yes,No,Yes
,2nd Gen,i5-2405S,Q2,2011,32,4,4,2.50,6,65,3.30,DDR3 1066/1333,2, HD  3000,850,1.10,FCLGA1155,2,No,No,Yes,Yes,No,Yes
,2nd Gen,i5-2310,Q2,2011,32,4,4,2.90,6,95,3.20,DDR3 1066/1333,2, HD  2000,850,1.10,LGA1155,2,No,No,Yes,Yes,No,Yes
,2nd Gen,i3-2105,Q2,2011,32,2,4,3.10,3,65,N/A,DDR3 1066/1333,2, HD  3000,850,1.10,FCLGA1155,No,No,Yes,Yes,Yes,No,No
,2nd Gen,i3-2102,Q2,2011,32,2,4,3.10,3,65,N/A,DDR3 1066/1333,2, HD  2000,850,1.10,FCLGA1155,No,No,Yes,Yes,Yes,No,No
,2nd Gen,i5-2390T,Q1,2011,32,2,4,2.70,3,35,3.50,DDR3 1066/1333,2, HD  2000,650,1.10,FCLGA1155,2,Yes,Yes,Yes,Yes,No,Yes
,2nd Gen,i3-2120,Q1,2011,32,2,4,3.30,3,65,N/A,DDR3 1066/1333,2, HD  2000,850,1.10,FCLGA1155,No,No,Yes,Yes,Yes,No,No
,2nd Gen,i3-2100T,Q1,2011,32,2,4,2.50,3,35,N/A,DDR3 1066/1333,2, HD  2000,650,1.10,FCLGA1155,No,No,Yes,Yes,Yes,No,No
,2nd Gen,i3-2100,Q1,2011,32,2,4,3.10,3,65,N/A,DDR3 1066/1333,2, HD  2000,850,1.10,FCLGA1155,No,No,Yes,Yes,Yes,No,No
,Legacy  Core ,i7-990X,Q1,2011,32,6,12,3.46,12,130,3.73,DDR3 1066,3,N/A,N/A,N/A,FCLGA1366,1.0,No,Yes,Yes,Yes,No,Yes
