,Comparison of Desktop Intel® Processors ,,,,,,,,,,Last Revision : 2019.12.2,,,,,,,,,,,,,,,,
,Product Collection,Processor Number,Quarter Launch,Year launch,Lithography (nm),# of Cores,# of Threads,Processor Base Frequency (GHz),Cache (MB),TDP (W),Max Turbo Frequency (GHz),Intel® Turbo Boost Max Technology 3.0 Frequency (GHz),Memory Types,Max # of Memory Channels,Intel® Processor Graphics,Graphics Base Frequency (MHz),Graphics Max Dynamic Frequency (GHz),Sockets Supported,Intel® Turbo Boost Technology ,Intel® vPro™ Platform Eligibility,Intel® Hyper-Threading Technology ,Intel® Virtualization Technology  (VT-x),Enhanced Intel SpeedStep® Technology,Intel® Stable Image Platform Program (SIPP),Intel® Turbo Boost Max Technology 3.0,Intel® AES New Instructions,Intel® Memory Protection Extensions (Intel® MPX)
,9th Gen  ,i7-9700F,Q2,2019,14,8,8,3.00,12,65,4.70,N/A,DDR4-2666,2,N/A,N/A,N/A,FCLGA1151,2.0,No,No,Yes,Yes,No,No,Yes,Yes
,9th Gen  ,i9-9900T,Q2,2019,14,8,16,2.10,16,35,4.40,N/A,DDR4-2666,2, UHD  630,350,1.20,FCLGA1151,2.0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
,9th Gen  ,i7-9700T,Q2,2019,14,8,8,2.00,12,35,4.30,N/A,DDR4-2666,2, UHD  630,350,1.20,FCLGA1151,2.0,Yes,No,Yes,Yes,Yes,No,Yes,Yes
,9th Gen  ,i5-9600T,Q2,2019,14,6,6,2.30,9,35,3.90,N/A,DDR4-2666,2, UHD  630,350,1.15,FCLGA1151,2.0,Yes,No,Yes,Yes,Yes,No,Yes,Yes
,9th Gen  ,i5-9500T,Q2,2019,14,6,6,2.20,9,35,3.70,N/A,DDR4-2666,2, UHD  630,350,1.10,FCLGA1151,2.0,Yes,No,Yes,Yes,Yes,No,Yes,Yes
,9th Gen  ,i3-9350KF,Q1,2019,14,4,4,4.00,8,91,4.60,N/A,DDR4-2400,2,N/A,N/A,N/A,FCLGA1151,2.0,No,No,Yes,Yes,No,No,Yes,Yes
,9th Gen  ,i5-9600KF,Q1,2019,14,6,6,3.70,9,95,4.60,N/A,DDR4-2666,2,N/A,N/A,N/A,FCLGA1151,2.0,No,No,Yes,Yes,No,No,Yes,Yes
,9th Gen  ,i5-9400F,Q1,2019,14,6,6,2.90,9,65,4.10,N/A,DDR4-2666,2,N/A,N/A,N/A,FCLGA1151,2.0,No,No,Yes,Yes,No,No,Yes,Yes
,9th Gen  ,i5-9400,Q1,2019,14,6,6,2.90,9,65,4.10,N/A,DDR4-2666,2, UHD  630,350,1.05,FCLGA1151,2.0,No,No,Yes,Yes,No,No,Yes,Yes
,9th Gen  ,i7-9700KF,Q1,2019,14,8,8,3.60,12,95,4.90,N/A,DDR4-2666,2,N/A,N/A,N/A,FCLGA1151,2.0,No,No,Yes,Yes,No,No,Yes,Yes
,9th Gen  ,i9-9900KF,Q1,2019,14,8,16,3.60,16,95,5.00,N/A,DDR4-2666,2,N/A,N/A,N/A,FCLGA1151,2.0,No,Yes,Yes,Yes,No,No,Yes,Yes
,9th Gen  ,i9-9900K,Q4,2018,14,8,16,3.60,16,95,5.00,N/A,DDR4-2666,2, UHD  630,350,1.20,FCLGA1151,2.0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
,9th Gen  ,i7-9700K,Q4,2018,14,8,8,3.60,12,95,4.90,N/A,DDR4-2666,2, UHD  630,350,1.20,FCLGA1151,2.0,Yes,No,Yes,Yes,Yes,No,Yes,Yes
, X-series ,i9-9960X,Q4,2018,14,16,32,3.10,22,165,4.40,4.50,DDR4-2666,4,N/A,N/A,N/A,FCLGA2066,2.0,No,Yes,Yes,Yes,No,Yes,Yes,No
, X-series ,i9-9940X,Q4,2018,14,14,28,3.30,19.25,165,4.40,4.50,DDR4-2666,4,N/A,N/A,N/A,FCLGA2066,2.0,No,Yes,Yes,Yes,No,Yes,Yes,No
, X-series ,i9-9920X,Q4,2018,14,12,24,3.50,19.25,165,4.40,4.50,DDR4-2666,4,N/A,N/A,N/A,FCLGA2066,2.0,No,Yes,Yes,Yes,No,Yes,Yes,No
, X-series ,i9-9900X,Q4,2018,14,10,20,3.50,19.25,165,4.40,4.50,DDR4-2666,4,N/A,N/A,N/A,FCLGA2066,2.0,No,Yes,Yes,Yes,No,Yes,Yes,No
, X-series ,i9-9820X,Q4,2018,14,10,20,3.30,16.5,165,4.10,4.20,DDR4-2666,4,N/A,N/A,N/A,FCLGA2066,2.0,No,Yes,Yes,Yes,No,Yes,Yes,No
, X-series ,i7-9800X,Q4,2018,14,8,16,3.80,16.5,165,4.40,4.50,DDR4-2666,4,N/A,N/A,N/A,FCLGA2066,2.0,No,Yes,Yes,Yes,No,Yes,Yes,No
, X-series ,i9-9980XE,Q4,2018,14,18,36,3.00,24.75,165,4.40,4.50,DDR4-2666,4,N/A,N/A,N/A,FCLGA2066,2.0,No,Yes,Yes,Yes,No,Yes,Yes,No
,9th Gen  ,i5-9600k,Q4,2018,14,6,6,3.70,9,95,4.60,N/A,DDR4-2666,2, UHD  630,350,1.15,FCLGA1151,2.0,Yes,No,Yes,Yes,Yes,No,Yes,Yes
,8th Gen  ,i7-8700,Q2,2018,14,6,12,3.20,12,65,4.60,N/A,DDR4-2666,2, UHD  630,350,1.20,FCLGA1151,2.0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
,8th Gen  ,i5-8600,Q2,2018,14,6,6,3.10,9,65,4.30,N/A,DDR4-2666,2, UHD  630,350,1.15,FCLGA1151,2.0,Yes,No,Yes,Yes,Yes,No,Yes,Yes
,8th Gen  ,i3-8300,Q2,2018,14,4,4,3.70,8,62,N/A,N/A,DDR4-2400,2, UHD  630,350,1.15,FCLGA1151,No,No,No,Yes,Yes,No,No,Yes,Yes
,8th Gen  ,i3-8300T,Q2,2018,14,4,4,3.20,8,35,N/A,N/A,DDR4-2400,2, UHD  630,350,1.10,FCLGA1151,No,No,No,Yes,Yes,No,No,Yes,Yes
